îNóÓ	ê´ï 	ãŒë±îNêî	íSìñå⁄ãqêî	âcã∆îÑè„	îNïÓ
37	F	12	5	330000 	3991669 
31	M	9	1	108900 	3798249 
23	M	2	5	408000 	3229636 
31	F	9	6	338400 	3763893 
37	F	10	7	921200 	3805722 
22	F	2	7	385000 	3269384 
32	M	4	6	960000 	3525176 
48	M	13	3	349800 	4534654 
28	M	1	6	748800 	3309999 
39	F	14	4	520000 	4368957 
49	M	19	3	411600 	4883160 
33	M	2	5	53500 	3380876 
50	M	1	6	748800 	3531399 
44	F	17	1	103400 	4212547 
27	F	7	6	1030200 	3798306 
38	F	13	6	607200 	4011864 
44	F	3	7	937300 	3657268 
24	M	3	3	194400 	3285808 
29	M	5	5	272500 	3601690 
32	F	4	7	1290100 	3641280 
31	M	1	2	235200 	3260954 
30	M	1	2	235200 	3215354 
30	M	6	4	388800 	3484738 
48	M	6	6	826800 	3932565 
25	F	5	3	486000 	3635902 
24	M	3	6	1152000 	3404956 
47	F	25	2	350200 	5877213 
29	F	1	1	117600 	3230917 
24	M	0	3	96300 	3052513 
50	F	8	4	470400 	4118429 
35	M	2	3	401700 	3336517 
43	F	10	2	198000 	4142533 
42	F	7	3	370800 	3955515 
42	M	17	5	990000 	4751148 
40	M	16	5	959500 	4405503 
42	M	20	1	50000 	4541566 
34	F	12	2	87200 	4221587 
31	F	9	4	409200 	4153810 
34	F	5	4	864000 	3652386 
29	F	6	1	84600 	3553408 
31	F	5	7	339500 	3554653 
30	F	2	7	910000 	3492290 
39	F	6	7	152600 	3866417 
43	F	10	7	1373400 	4125119 
24	M	4	4	42000 	3408600 
30	F	3	4	640000 	3389144 
20	M	0	1	130000 	3047024 
47	M	4	1	122200 	3603687 
22	F	2	5	420000 	3280684 
38	M	7	4	576800 	3870234 
36	M	3	2	252000 	3331602 
22	F	0	6	990000 	3132748 
30	M	7	1	37600 	3521059 
35	M	2	3	95400 	3402882 
35	F	8	5	682500 	3775237 
36	F	4	3	139500 	3438008 
24	M	4	1	126000 	3361641 
24	F	2	5	790500 	3294876 
48	M	1	1	51500 	3404684 
44	M	17	3	432600 	4680620 
46	F	3	6	873000 	3617698 
27	F	4	2	163800 	3447349 
47	M	20	7	931000 	4609150 
29	F	3	2	208000 	3338290 
25	M	0	5	735000 	3245688 
22	F	0	7	1414000 	3224336 
50	M	25	7	1134000 	5197332 
25	F	5	5	742000 	3655708 
29	M	5	5	202000 	3411816 
41	F	11	5	873000 	3996498 
47	F	3	2	126000 	3538741 
28	M	5	1	27000 	3543814 
36	M	13	3	114000 	4421992 
20	M	0	3	441600 	3152432 
32	F	4	7	1223600 	3644789 
32	F	3	7	637000 	3496507 
50	M	16	4	210000 	4185682 
29	M	0	3	609900 	3267858 
37	F	1	5	720000 	3338302 
42	F	20	2	363800 	4985294 
49	M	28	2	242400 	5895103 
30	M	2	3	453600 	3369381 
33	F	12	1	104000 	4230735 
26	M	4	2	56400 	3498098 
39	M	15	3	394800 	4518412 
39	F	5	6	297000 	3589160 
28	M	1	3	481500 	3291446 
49	F	20	5	552000 	5281420 
32	F	3	7	735000 	3455288 
32	M	4	5	969000 	3670488 
36	M	9	5	800000 	3990460 
38	M	14	7	216300 	4411600 
31	M	3	5	672000 	3466207 
26	M	1	1	115500 	3179011 
23	M	1	3	582000 	3227292 
22	M	1	4	763200 	3230897 
40	F	18	4	560000 	4819886 
24	M	3	1	82400 	3322687 
34	M	7	1	220000 	3711939 
39	M	16	5	214000 	4256765 
23	F	0	2	19600 	3061536 
48	M	6	3	243000 	3843091 
36	M	12	3	462000 	3956205 
41	M	18	6	185400 	4648397 
23	M	3	4	520800 	3297473 
33	F	3	6	898800 	3529758 
46	M	8	1	151500 	3875957 
33	M	0	5	144000 	3181664 
35	F	8	2	169200 	3845036 
36	M	10	2	43200 	3917575 
21	M	0	6	374400 	3152939 
26	M	2	6	848400 	3308913 
49	M	21	3	132000 	4723215 
50	F	18	6	1188000 	5079802 
39	F	2	5	55000 	3468594 
48	M	7	6	338400 	3873493 
29	M	8	2	357200 	3567033 
21	M	1	5	910000 	3243790 
40	M	19	7		5139010 
41	M	17	6	777600 	4448496 
36	M	6	4	247200 	3642903 
37	M	9	3	654000 	3884984 
34	M	1	3	120000 	3221366 
24	M	2	4	235200 	3214354 
23	M	0	3	333300 	3166950 
49	M	23	5	322000 	5397703 
27	M	7	3	374400 	3658239 
49	M	10	6	194400 	3964308 
49	F	1	6	291000 	3483886 
25	M	0	3	151500 	3130657 
22	F	0	7	1075200 	3175164 
33	M	13	5	192000 	3923359 
36	M	1	5	145500 	3328882 
37	M	10	6	303000 	3825634 
30	M	6	7	1209600 	3784949 
39	F	12	2	300000 	4498697 
49	F	11	6	686400 	4173406 
25	F	0	4	336000 	3068543 
21	M	1	5	921500 	3251766 
28	M	6	2	144000 	3609064 
22	F	1	6	654000 	3158884 
39	M	18	6	1260000 	5130394 
31	M	5	3	169200 	3666036 
35	M	7	5	552000 	3824620 
47	M	7	4	288400 	3980907 
38	F	7	5	810000 	3798917 
21	M	0	2	20200 	3101123 
47	F	18	2	127200 	4336316 
36	M	4	1	9600 	3578678 
44	F	12	6	128400 	4454391 
23	M	0	6	552000 	3108820 
33	M	4	4	43600 	3437033 
25	M	2	5	490500 	3269058 
33	M	10	5	250000 	4139111 
34	F	11	2	294000 	3896523 
34	F	9	7	371000 	3992944 
20	M	0	3	279000 	3068737 
21	M	1	6	741000 	3169762 
31	M	1	5	418500 	3295866 
35	M	13	7	145600 	4262797 
29	F	0	6	480000 	3220728 
42	M	10	3	450000 	4062056 
22	F	1	6	1056000 	3198866 
24	M	4	2	40400 	3303567 
21	F	0	5	744000 	3146799 
27	M	5	2	137200 	3367773 
20	F	0	1	40800 	3034025 
40	F	1	7	1197000 	3435513 
42	M	2	6	648000 	3429910 
37	F	0	3	460800 	3270330 
36	F	2	2	312000 	3461546 
29	F	4	1	186000 	3343884 
49	F	15	3	30600 	4381339 
39	F	5	5	1026000 	3797294 
25	F	3	4	174400 	3260494 
27	F	2	2	133000 	3233761 
39	M	16	2	252000 	4168202 
46	M	16	1	73600 	4326605 
46	F	8	7	220500 	3997412 
39	M	10	1	99000 	4144406 
28	F	5	1	97000 	3495515 
32	F	10	6	1185600 	4092452 
46	M	17	3	226800 	4475730 
32	M	7	4	147200 	3761530 
38	F	5	7	798000 	3683669 
41	F	6	2	220000 	3535339 
21	F	0	3	159000 	3001350 
38	F	3	4	352000 	3508975 
46	M	6	2	294400 	3667181 
45	M	7	6	327000 	3645232 
44	M	5	1	83200 	3705904 
44	M	22	7	140000 	5012881 
40	F	15	1	65400 	4526110 
44	F	19	6	244800 	4451553 
29	F	1	6	303000 	3281934 
31	M	4	5	535000 	3591843 
22	F	1	5	712500 	3271309 
39	F	3	3	195300 	3464640 
50	F	6	7	680400 	3778231 
33	M	3	6	1105800 	3448523 
41	M	13	4	480000 	4082128 
25	F	2	2	306000 	3288971 
20	F	0	1	63000 	3067260 
47	F	0	3	309000 	3351209 
36	F	5	3	479400 	3676740 
38	M	12	4	400400 	4470628 
30	M	4	1	164800 	3397895 
34	M	11	3	237600 	4234304 
26	F	1	4	111600 	3112742 
35	M	0	4	558000 	3320894 
23	M	0	2	95000 	3042823 
41	F	5	7	450800 	3603373 
46	F	9	2	288000 	3820148 
45	M	18	1	93600 	4524419 
33	F	11	4	588000 	3974866 
48	F	27	4	77600 	5031188 
45	F	3	1	30000 	3442151 
29	F	8	1	79200 	3491421 
29	M	4	1		3411756 
40	M	9	1	47000 	4046128 
40	M	10	3	630000 	4124887 
23	F	0	2	181800 	3024872 
38	M	10	7	201600 	4187258 
24	F	1	7	1187200 	3317485 
30	F	0	1	73600 	3109805 
31	M	8	3	388800 	3911738 
46	F	10	6	378000 	4326964 
24	F	3	6	460800 	3399130 
48	M	17	5	440000 	4433499 
34	F	13	5	52500 	4260130 
28	F	8	5	936000 	3898079 
50	F	11	6	999600 	6155947 
40	F	11	5	148500 	4074720 
28	M	4	1	150000 	3577938 
38	F	6	7	199500 	3626552 
32	F	11	1	114000 	3933892 
31	M	6	4	82400 	3572287 
48	M	9	5	371000 	4117644 
40	F	4	6	306000 	3482671 
22	F	1	1	10100 	3117151 
32	F	10	7	955500 	4320520 
40	M	0	6	115200 	3276867 
41	M	6	4	288000 	3885448 
37	M	2	2	132000 	3408415 
23	M	2	2	254400 	3205052 
43	M	11	6	1254000 	4001420 
36	F	12	2	165600 	4145012 
20	F	0	3	432600 	3121120 
34	F	4	7	828100 	3630955 
44	F	8	7	1360800 	4067583 
21	M	1	7	1303400 	3247218 
25	M	2	5	157500 	3248931 
40	M	17	1	18000 	4582502 
46	F	6	4	800000 	3740260 
47	M	25	7	1442000 	5381316 
46	M	10	5	144000 	3791864 
25	M	5	1	139500 	3439908 
40	F	5	2	263200 	3660434 
47	M	10	7	1154300 	4062391 
31	F	2	2	236600 	3292458 
38	F	10	5	546000 	4134446 
25	F	5	5	940000 	3744062 
36	F	4	7	193200 	3405434 
44	F	2	4	537600 	3525822 
24	M	0	6	436800 	3132932 
26	F	4	2	247200 	3391303 
44	F	11	7	394800 	4292412 
33	F	10	6	285000 	3929511 
24	F	4	1	136500 	3459971 
28	F	5	1	127200 	3420716 
46	M	5	7	291200 	3681715 
38	F	1	2	252000 	3279102 
40	F	20	3	508800 	5270225 
23	M	0	2	21200 	3122069 
41	F	17	7	1330000 	4940795 
44	F	21	7	763000 	4536068 
26	M	0	1	43200 	3064975 
22	M	0	1	126100 	3007055 
41	M	16	5	51500 	4391284 
43	M	4	3	460800 	3629730 
47	F	8	5	472500 	3840335 
47	M	18	6	349200 	4350067 
49	M	13	7	133000 	4287561 
25	M	1	7	294000 	3153623 
34	F	6	1	182400 	3603860 
22	F	1	3	338400 	3172793 
28	F	2	3	27300 	3190658 
33	F	4	7	1190000 	3616893 
31	F	5	5	346500 	3697673 
40	F	20	7	1178100 	5017759 
42	F	19	1	19400 	4604706 
48	M	10	3	558000 	4208194 
48	F	15	1	115500 	4884511 
20	F	0	2	235400 	3032383 
26	F	4	4	43200 	3424575 
21	F	1	6	176400 	3179485 
44	M	14	1	190000 	4659367 
24	F	4	2	360000 	3470941 
34	F	1	7	1273300 	3415332 
30	F	8	4	408000 	3949736 
42	F	13	6	130800 	4310440 
50	F	18	2	231000 	4351742 
43	F	2	2	86400 	3372970 
32	M	1	1	102300 	3302887 
39	M	17	3	330000 	4537269 
48	M	9	2	42000 	4033000 
41	M	16	1	124800 	4217166 
22	F	2	4	84800 	3221037 
49	M	11	7	599200 	4502398 
31	F	1	6	254400 	3301952 
24	M	2	6	240000 	3221454 
49	F	8	6	540000 	3950271 
22	F	1	6	633600 	3236011 
39	M	17	7	1050000 	4695791 
38	F	18	2	400000 	4813770 
21	M	1	6	58800 	3104448 
50	F	2	3	191100 	3541328 
29	F	5	1	136500 	3561771 
20	M	0	2	56400 	3066298 
31	F	10	2	190800 	3701984 
33	F	5	2	296800 	3457731 
37	M	15	4	546000 	4603846 
38	F	8	6	496800 	3854276 
47	M	26	7	70000 	4985280 
45	F	10	1	172800 	3986261 
39	M	11	2	165600 	4074612 
48	M	24	6	550800 	4890745 
28	M	0	2	194000 	3167150 
46	M	15	2	276000 	4748000 
34	F	2	6	232800 	3428204 
36	M	3	5	159000 	3427050 
44	M	21	7	955500 	4710520 
27	F	0	5	540000 	3118871 
43	F	15	1	20600 	4572981 
25	F	2	7	127400 	3231945 
32	M	7	7	716100 	3639834 
24	M	0	7	1142400 	3204957 
36	F	1	7	504000 	3296625 
35	F	5	4	652800 	3598709 
32	M	5	7	449400 	3439669 
45	M	6	6	300000 	3801397 
22	M	1	4	576000 	3219417 
23	F	2	3	592800 	3253066 
36	M	14	7	214200 	4171294 
43	M	5	2	19800 	3589565 
30	F	3	1	153000 	3397675 
37	M	6	1	52500 	3540430 
43	M	7	7	72800 	3718988 
35	F	14	5	855000 	4618575 
33	F	3	4	800000 	3433960 
27	M	0	1	43600 	3046533 
22	F	1	3	648000 	3178110 
27	F	0	1	55200 	3048223 
25	M	3	2	357000 	3272603 
23	F	0	3	30900 	3123182 
35	F	5	4	582400 	3711950 
23	F	1	6	256800 	3122902 
25	F	1	7	848400 	3273613 
49	M	16	3	600000 	4807715 
25	M	0	5	572000 	3132435 
35	M	14	5	385000 	4193584 
30	F	5	3	272700 	3480819 
47	F	24	5	48500 	4940147 
21	M	1	3	61200 	3056298 
22	F	2	2	353600 	3226808 
40	F	16	5	47000 	4338928 
25	F	4	7	840000 	3414389 
27	M	3	5	184000 	3337493 
33	M	4	1	116600 	3405671 
49	M	28	3	151500 	5951057 
35	M	2	4	610400 	3462430 
38	M	4	6	61800 	3579085 
32	F	6	2	360000 	3700941 
41	F	1	6	792000 	3413194 
41	M	19	1	168300 	4343905 
46	M	20	6	65400 	4842210 
27	F	2	1	28200 	3191889 
20	M	0	6	64200 	3037435 
35	M	14	7	1113000 	4589972 
32	M	9	5	663000 	3731296 
27	M	4	1	158400 	3385262 
25	F	3	1	21400 	3266298 
46	M	13	2	291200 	4179515 
26	M	5	5	654000 	3576584 
30	M	2	2	353600 	3381008 
24	F	0	7	291200 	3111715 
43	F	19	5	384000 	4587038 
26	M	5	2	267800 	3517705 
32	M	10	7	1197000 	4025713 
26	F	0	1	9000 	3151191 
40	M	4	6	777600 	3619396 
36	F	14	3	324000 	4110495 
50	F	20	3	55800 	4605211 
37	M	12	1	55200 	4254223 
33	F	1	3	346500 	3312573 
47	M	2	7	407400 	3536548 
42	F	14	1	138000 	4363990 
37	M	12	6	420000 	4022984 
50	M	15	6	449400 	4716569 
31	F	11	7	964600 	3897346 
35	F	10	1	107800 	4058289 
27	M	1	4	470800 	3274387 
20	M	0	4	204000 	3027807 
27	F	7	7	1178100 	3803359 
45	F	8	2	420000 	4059084 
46	F	17	6	1091400 	4323325 
48	F	19	2	244400 	4691495 
43	M	2	2	126000 	3505741 
37	F	1	5	350000 	3354883 
29	F	9	4	352800 	3768291 
47	F	25	7	216300 	5087300 
49	F	2	3	523800 	3495011 
48	F	15	5	315000 	4530883 
39	F	10	5	343000 	4007963 
38	F	3	5	495000 	3481814 
43	F	19	3	94500 	5027850 
25	M	2	1	102300 	3296787 
33	F	4	6	1219800 	3599736 
36	F	14	1	167400 	4602474 
45	M	10	4	509600 	4310841 
41	M	13	1	81600 	3968771 
33	F	6	2	86400 	3604570 
49	M	20	7	137200 	4486773 
48	M	24	2	155200 	5106696 
23	M	3	1	198000 	3305633 
22	M	1	7	560000 	3165286 
48	M	23	1	138000 	5084290 
37	F	7	1	123500 	3752477 
39	M	15	5	1016500 	4562910 
40	M	5	4	720000 	3671002 
46	F	23	6	561600 	5302719 
23	M	3	5	669500 	3352743 
24	M	0	5	440000 	3132599 
24	M	3	5	535000 	3369643 
39	F	3	1	156000 	3579913 
20	F	0	3	264600 	3036638 
27	M	3	7	793100 	3460555 
38	M	7	7	302400 	3552747 
49	M	12	3	654000 	4112084 
23	M	1	2	299600 	3178239 
25	M	4	7	133000 	3288961 
26	F	3	1	183600 	3267535 
30	M	7	3	230400 	3661855 
49	M	29	5	206000 	5008899 
29	F	9	5	1045000 	3998763 
33	M	13	6	669600 	3859957 
32	M	0	6	436800 	3182932 
35	M	2	6	780000 	3480746 
46	F	25	5	721000 	5188348 
45	F	6	3	244800 	3681753 
38	M	3	7	509600 	3470141 
35	M	15	7	1386000 	4508055 
32	M	8	4	630000 	3674287 
28	F	4	7	1222200 	3580985 
47	M	17	7	890400 	4536934 
42	F	13	7	364000 	4313424 
33	F	13	4	164800 	4147995 
32	M	9	5	396000 	3750587 
46	M	17	4	43600 	4581633 
48	F	16	7	793100 	4656455 
24	F	3	7	1113000 	3397472 
34	F	11	1	158100 	4068719 
33	M	6	3	57000 	3645386 
22	F	1	1	196000 	3103842 
42	M	3	7	274400 	3504267 
30	F	5	3	583200 	3709067 
21	F	0	1	118800 	3115692 
43	F	2	4	249600 	3469453 
39	F	13	1	118800 	4355092 
40	F	19	4	576000 	4939617 
33	F	9	7	723800 	3814956 
24	F	4	1	148800 	3276963 
40	F	17	4	74400 	4596321 
36	M	1	6	276000 	3257100 
41	M	5	5	1040000 	3895934 
48	M	26	7	1118600 	5090888 
34	M	9	2	408000 	4035536 
39	M	1	1	186200 	3271914 
